"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes"
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","0",,,"B0DLW1L5PR","B0DLW1L5PR","3",,"✅Comes with default Xiomi dialer so call recording feature is a huge plus point. One may never know when it's needed.✅Bigger screen size: This has its own advantage and disadvantage. Good to use for elders when font size is increased on a already bigger screen size phone. Safe hand to eye distance can be easily achieved.❌Issue is that bigger size bigger battery makes it bulky (keep in mind back cover will also add overall weight slightly). One hand use is risky because handling might become difficult for few people.✅Battery backup: Not sure how much Xiomi has worked on battery backup but so far it's looking decent hopefully it stays this way in future as well. (Only other Redmi phone I used was their debut model in India 'Redmi 1S' that was launched way back 10 years ago and it wasn't so good on battery backup)✅Updates: Received first update (security patch) today as I write this review.✅ Charging speed is definitely good.❌Storage: custom UI phones lack in this. Unnecessary apps, tweaks and customisation eat up system space. I've literally kept this phone as received it 2 weeks ago. No data saved so far and already 23 GB system space is full. 128 internal space in budget segment phones should now be default given size of apps and never ending updates.🤷🏽Can't comment on 5G since I don't have jio connection. 4G is working fine.❌Separate budget for screen protector and back cover.Bought this for my mum so good for basic usage. Received this phone on 4th December 2024 so I believe 2 weeks period is still not enough to give final review.","R19S7MF6UR49NF","https://m.media-amazon.com/images/I/71HEnfPC7XL.jpg","https://m.media-amazon.com/images/I/7151xqG7a8L.jpg","https://m.media-amazon.com/images/I/61-JjsblVLL.jpg",,,"Good for decent use","https://www.amazon.in/customer-reviews/R19S7MF6UR49NF",,,,"amzn1.account.AHMQAFXVVMBFQD4O7J4Z4E7UDWMA","https://www.amazon.in/gp/profile/amzn1.account.AHMQAFXVVMBFQD4O7J4Z4E7UDWMA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","1",,,"B0DLW1L5PR","B0DLW1L5PR","4",,"Mst phone hai","R1MOY1UVM5DQA8","https://m.media-amazon.com/images/I/81b7Re21HjL.jpg",,,,,"🫣🫣🫣🫣🩷","https://www.amazon.in/customer-reviews/R1MOY1UVM5DQA8",,,,"amzn1.account.AE4NP5HYTKBWA5S3XLZCDUZECNDQ","https://www.amazon.in/gp/profile/amzn1.account.AE4NP5HYTKBWA5S3XLZCDUZECNDQ",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","2",,,"B0DLW1L5PR","B0DLW1L5PR","4",,"Design is good 👍Sound quality is very good 👍Display size awesome 😎...","R20A3RT3JRCYYI","https://m.media-amazon.com/images/I/61wEkoOclPL.jpg","https://m.media-amazon.com/images/I/71BMnhdAIdL.jpg","https://m.media-amazon.com/images/I/61Fsqq7HL5L.jpg",,,"Best budget mobile","https://www.amazon.in/customer-reviews/R20A3RT3JRCYYI",,,,"amzn1.account.AFR746KZCXBIOHHOF6QQIK5YEWHA","https://www.amazon.in/gp/profile/amzn1.account.AFR746KZCXBIOHHOF6QQIK5YEWHA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","3",,,"B0DLW1L5PR","B0DLW1L5PR","4",,"Nice it's all features are good","RXQZJU0CXKA5Q","https://m.media-amazon.com/images/I/517dhPX98vL.jpg",,,,,"Phone mobile","https://www.amazon.in/customer-reviews/RXQZJU0CXKA5Q",,,,"amzn1.account.AENM2LV2NVGZTFGXC36KBE7QSMTQ","https://www.amazon.in/gp/profile/amzn1.account.AENM2LV2NVGZTFGXC36KBE7QSMTQ",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","4",,,"B0DLW1L5PR","B0DLW1L5PR","4",,"GoodWorking smooth under this segment","R34Q2KDM93SPRU","https://m.media-amazon.com/images/I/71vTvfAOR6L.jpg",,,,,"Good","https://www.amazon.in/customer-reviews/R34Q2KDM93SPRU",,,,"amzn1.account.AGFYTVZWHSIK77E25MSXJYU3INPA","https://www.amazon.in/gp/profile/amzn1.account.AGFYTVZWHSIK77E25MSXJYU3INPA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","5",,,"B0DLW1L5PR","B0DLW1L5PR","4",," ","R1JEZU9VCFWDBJ","https://m.media-amazon.com/images/I/51I4stawi0L.jpg",,,,,"Good camera back side","https://www.amazon.in/customer-reviews/R1JEZU9VCFWDBJ",,,,"amzn1.account.AHAE44M3GNLPUNPPCHTWP3ONSNZA","https://www.amazon.in/gp/profile/amzn1.account.AHAE44M3GNLPUNPPCHTWP3ONSNZA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","6",,,"B0DLW1L5PR","B0DLW1L5PR","4",," ","R3HAETE2RRT7CB","https://m.media-amazon.com/images/I/61zROL3nQOL.jpg",,,,,"Just ok inthis budjet 5g but only jio support 5g but fast network catchingobile","https://www.amazon.in/customer-reviews/R3HAETE2RRT7CB",,,,"amzn1.account.AEZA54FDXL4OMJTBUON2NM3JHHQA","https://www.amazon.in/gp/profile/amzn1.account.AEZA54FDXL4OMJTBUON2NM3JHHQA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","7",,,"B0DLW1L5PR","B0DLW1L5PR","4",," ","R1Y2ISOOB9ASND","https://m.media-amazon.com/images/I/61p2mpuacaL.jpg",,,,,"Nice looking fhone","https://www.amazon.in/customer-reviews/R1Y2ISOOB9ASND",,,,"amzn1.account.AH2QB3KFGAPYXNEK5PFXZ52UASIQ","https://www.amazon.in/gp/profile/amzn1.account.AH2QB3KFGAPYXNEK5PFXZ52UASIQ",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","8",,,"B0DLW1L5PR","B0DLW1L5PR","3",,"But over all ok","R1J49V1RIIABWG","https://m.media-amazon.com/images/I/51AsYg4SqsL.jpg","https://m.media-amazon.com/images/I/51ctZjEnT3L.jpg","https://m.media-amazon.com/images/I/51OUVOUEzJL.jpg",,,"Small Dent","https://www.amazon.in/customer-reviews/R1J49V1RIIABWG",,,,"amzn1.account.AE3YY6DBJKOGL3LWX7DO2VFBDLQA","https://www.amazon.in/gp/profile/amzn1.account.AE3YY6DBJKOGL3LWX7DO2VFBDLQA",,"B0DLW1L5PR",
,,,,,"https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_1_sspa?crid=2NPBUKADHO7T8&dib=eyJ2IjoiMSJ9.2P4_ljhvPVUJG8lLANXF6jmJkcbieveMeld1XHXo90j1mjS_9HnJV5tVNiU2cGlfZawNpPLRMazhRAm01X4ShroUeDx5IHRwXP5vYJyCI--G-Hfpld3xVftyuo5IziFyHRRLX5MdjReBkMVTCfQD9b4RFMSuU2BoPuIwWieKuMlxiQST6EDP6jBbbFEgQrFo1QQ2zXtp-WRk9CxEzxbb0WFzvKOgRL_xgRWI7QUH8sw.XcsTGMfOXwOcEwtRlsipTQfIV2TIDGeQXwJGBRKGRh0&dib_tag=se&keywords=redmi%2Bphone&qid=1743690715&sprefix=redmi%2Bpho%2Caps%2C221&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1",,"true","9",,,"B0DLW1L5PR","B0DLW1L5PR","4",," ","R2YKA7PG4WLV0L","https://m.media-amazon.com/images/I/61sQGU1aWCL.jpg",,,,,"Ok","https://www.amazon.in/customer-reviews/R2YKA7PG4WLV0L",,,,"amzn1.account.AGIJ4L3HMTXQA2JMYPEAKSGYH3DA","https://www.amazon.in/gp/profile/amzn1.account.AGIJ4L3HMTXQA2JMYPEAKSGYH3DA",,"B0DLW1L5PR",
